submission_id,zip,age,gender,cups,cups_num,home_brew,party
PABJLV,11790,25-34 years old,Male,2,2,"Pour over, French press, Espresso",Democrat
zKQ5o0,22901,25-34 years old,Male,2,2,Pour over,Republican
dY2eyA,90713,18-24 years old,NA,1,1,Pod/capsule machine (e.g. Keurig/Nespresso),NA
GrBAOp,77375,25-34 years old,Male,1,1,"Pour over, Espresso, Coffee extract (e.g. Cometeer)",NA
YZzlbB,60175,35-44 years old,NA,4,4,"Coffee extract (e.g. Cometeer), Pour over",NA
Albeek,49544,25-34 years old,Non-binary,2,2,Pour over,No affiliation
WApV7a,1960,35-44 years old,Male,2,2,Coffee brewing machine (e.g. Mr. Coffee),Democrat
kYRBPM,94403,35-44 years old,NA,1,1,Espresso,NA
rlrMMl,60061,25-34 years old,Male,2,2,NA,Democrat
5dqPa6,27603,35-44 years old,Male,2,2,"Coffee brewing machine (e.g. Mr. Coffee), Pour over",Democrat
XeBPAj,95014,18-24 years old,Female,1,1,Pod/capsule machine (e.g. Keurig/Nespresso),NA
24xGdL,6066,35-44 years old,Male,1,1,"Pour over, Espresso, Coffee extract (e.g. Cometeer)",Democrat
42NVVk,35475,35-44 years old,Male,2,2,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",Independent
J2kv4d,48104,35-44 years old,Non-binary,1,1,Other,Independent
EPb7VX,95051,18-24 years old,Male,Less than 1,0,"Other, French press",No affiliation
LdMLxj,53711,35-44 years old,Male,4,4,Pour over,No affiliation
1r2o0Q,47711,25-34 years old,Male,1,1,"Espresso, Cold brew",Democrat
bl4QJo,46075,25-34 years old,Male,2,2,Espresso,Republican
aBrqJv,7204,25-34 years old,Male,1,1,"Coffee brewing machine (e.g. Mr. Coffee), Other",Democrat
OABMM7,98059,35-44 years old,Male,Less than 1,0,Pour over,Democrat
42NVMb,19382,35-44 years old,Male,2,2,"Espresso, French press",Democrat
RzByQ9,60048,25-34 years old,Female,2,2,"Pour over, French press, Espresso",Democrat
OABMM8,94612,35-44 years old,Non-binary,2,2,Pour over,No affiliation
XeBP6j,92618,25-34 years old,Male,1,1,"Espresso, Pour over",Democrat
WApVLJ,60642,18-24 years old,NA,Less than 1,0,NA,NA
PABJqb,8002,25-34 years old,Male,2,2,"Coffee brewing machine (e.g. Mr. Coffee), Pour over",No affiliation
GrBAEp,60614,25-34 years old,Male,2,2,"Pour over, Espresso",Republican
xdN5qo,84102,35-44 years old,Male,2,2,"Pod/capsule machine (e.g. Keurig/Nespresso), Pour over",Independent
g5N6VO,63118,25-34 years old,Male,2,2,NA,Republican
KMBKj7,81647,35-44 years old,Male,2,2,Espresso,Independent
zKQ58a,84047,25-34 years old,Male,3,3,Espresso,Democrat
EPb7RN,61103,35-44 years old,Male,2,2,"Pour over, French press, Espresso",No affiliation
DVv685,98229,25-34 years old,Non-binary,2,2,"French press, Pour over",Democrat
RzByed,94063,25-34 years old,Male,2,2,"Pour over, Other",Democrat
oAVLjV,2130,25-34 years old,Non-binary,2,2,Espresso,Democrat
dY2ery,32608,25-34 years old,Male,1,1,Pour over,Democrat
pLPp2b,53716,55-64 years old,Female,2,2,Espresso,Democrat
QABlN8,20018,35-44 years old,Male,2,2,Espresso,Democrat
GrBAZj,75067,25-34 years old,Male,Less than 1,0,"Espresso, Other, Pour over",Democrat
YZzl75,8343,45-54 years old,Female,1,1,"Pour over, French press",No affiliation
ylq58B,10031,25-34 years old,Male,1,1,NA,Democrat
ylq5AB,98115,25-34 years old,Male,Less than 1,0,NA,Democrat
AlbeR0,94108,25-34 years old,Male,2,2,"Pour over, Espresso",Democrat
dY2eoo,98133,45-54 years old,Male,1,1,Other,Independent
YZzlAd,78578,25-34 years old,Male,2,2,"Pour over, French press, Coffee extract (e.g. Cometeer), Other",Democrat
NAB1NB,92867,25-34 years old,Male,1,1,"Pour over, Coffee extract (e.g. Cometeer)",Democrat
aBrqR9,84115,25-34 years old,Male,1,1,NA,Democrat
LdMLr1,47305,25-34 years old,Non-binary,1,1,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",No affiliation
zKQ5k1,60189,25-34 years old,Male,1,1,Other,Republican
42NVbO,78626,25-34 years old,Female,1,1,Pour over,Democrat
jB9AN6,27703,18-24 years old,Male,1,1,Pour over,Democrat
42NV0X,91364,>65 years old,Male,3,3,"Pour over, French press",Democrat
7d9rrA,94043,25-34 years old,Female,1,1,Espresso,No affiliation
5dqPNM,48103,45-54 years old,Male,2,2,"Pour over, Instant coffee",Democrat
ZdRrbz,2184,25-34 years old,Male,3,3,"Pour over, Espresso, Other",Independent
0EjRqN,10031,18-24 years old,Female,1,1,"Pour over, French press, Espresso",Democrat
vNx59Q,41701,25-34 years old,Male,2,2,Espresso,Democrat
EPb72o,91601,18-24 years old,Non-binary,Less than 1,0,NA,Democrat
dY2eJq,94555,25-34 years old,Male,1,1,"Pour over, Espresso, Cold brew",Democrat
g5N6od,92117,55-64 years old,NA,2,2,"Pod/capsule machine (e.g. Keurig/Nespresso), Pour over",NA
PABJxb,48823,25-34 years old,Non-binary,Less than 1,0,French press,Independent
6dQEEB,98229,25-34 years old,Male,2,2,"Pour over, French press, Other",Democrat
6dQE6P,92617,18-24 years old,Male,2,2,"Coffee brewing machine (e.g. Mr. Coffee), Other",Democrat
pLPpYq,60611,25-34 years old,Male,1,1,"Pour over, Other",Democrat
RzByyJ,97006,>65 years old,Female,1,1,"Pour over, French press",No affiliation
XeBP7g,55407,55-64 years old,Male,3,3,Coffee brewing machine (e.g. Mr. Coffee),Democrat
rlrM8l,21201,25-34 years old,Female,1,1,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)",Democrat
